Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
4/30/2019,89141,71639,AR,,Desha County,Dumas,9876,61100,0.006589786,0.018333333,0.142056075,0.031197816,0.027241208,2019-04,2019-Q2,61100,0,2019-04
4/30/2019,86565,64730,MO,Kansas City,Bates County,Butler,9877,109100,-0.009082652,-0.013562387,0.062317429,0.058513299,0.027472347,2019-01,2019-Q1,110600,-0.013562387,2018-11
4/30/2019,62150,11557,NY,New York-Newark-Jersey City,Nassau County,Hewlett,9878,675100,-0.001626738,0.002078076,0.049595771,0.063769078,0.026901987,2019-03,2019-Q1,676200,-0.001626738,2019-02
4/30/2019,65278,17961,PA,Pottsville,Schuylkill County,West Brunswick,9879,149600,-0.004657352,-0.001335113,0.022556391,0.026752527,0.011073388,2019-02,2019-Q1,150500,-0.005980066,2019-01
4/30/2019,99502,98014,WA,Seattle-Tacoma-Bellevue,King County,Carnation,9880,614500,-0.005341534,-0.011422136,-0.00324412,0.090045221,0.044183133,2018-09,2018-Q3,627700,-0.021029154,2018-03
4/30/2019,70123,28673,NC,Hickory-Lenoir-Morganton,Catawba County,Sherrills Ford,9881,363200,-0.002745744,0.004980631,0.135354798,0.066284372,0.002824215,2019-03,2019-Q1,364200,-0.002745744,2019-02
4/30/2019,69420,27571,NC,Raleigh,Wake County,Rolesville,9882,310600,-0.004487179,0.002906038,0.027796161,0.042619207,0.018688362,2019-02,2019-Q1,312100,-0.004806152,2019-02
4/30/2019,69428,27583,NC,Durham-Chapel Hill,Person County,Timberlake,9883,208700,0.002401537,0.000479386,0.068612391,0.046846179,0.017071897,2019-04,2019-Q2,208700,0,2019-04
4/30/2019,60250,6333,CT,Norwich-New London,New London County,East Lyme,9884,321700,0.000310945,0.005941213,0.014826498,0.028964779,0.003420649,2006-08,2006-Q3,369000,-0.128184282,2004-09
4/30/2019,97930,95019,CA,Santa Cruz-Watsonville,Santa Cruz County,Freedom,9885,530500,0.000943396,0.003214826,0.039584558,0.091835617,0.054854354,2005-12,2005-Q4,666200,-0.203692585,2005-01
4/30/2019,61843,10533,NY,New York-Newark-Jersey City,Westchester County,Irvington,9886,867000,-0.002186673,0.004867872,-0.045889733,0.050935208,0.018667579,2017-10,2017-Q4,921200,-0.0588363,2017-04
4/30/2019,85320,62088,IL,St. Louis,Macoupin County,Staunton,9887,82500,0.004872107,0.014760148,0.013513514,0.035485788,0.01065983,2006-07,2006-Q3,89600,-0.079241071,2006-02
4/30/2019,93564,80829,CO,Colorado Springs,El Paso County,Manitou Springs,9888,392400,0.005380477,0.025346224,0.106287003,0.07486602,0.038209038,2019-04,2019-Q2,392400,0,2019-04
4/30/2019,87721,67701,KS,,Thomas County,Colby,9889,131800,-0.0082769,-0.021529324,0.027279813,0.038527813,,2019-01,2019-Q1,134700,-0.021529324,2018-09
4/30/2019,61921,10920,NY,New York-Newark-Jersey City,Rockland County,Clarkstown,9890,424300,-0.002820212,0.00188902,0.014586322,0.033241292,0.004815182,2006-06,2006-Q2,499100,-0.149869766,2004-08
4/30/2019,82082,55070,MN,Minneapolis-St. Paul-Bloomington,Anoka County,Saint Francis,9891,227900,-0.001752081,0.006625442,0.075,0.069328998,0.036851929,2019-03,2019-Q1,228300,-0.001752081,2019-03
4/30/2019,76391,42544,KY,Somerset,Pulaski County,Nancy,9892,109700,0.004578755,0.006422018,0.083992095,0.037402213,0.022053911,2019-04,2019-Q2,109700,0,2019-04
4/30/2019,93826,81631,CO,Edwards,Eagle County,Eagle,9893,583200,-0.002565418,-0.003076923,0.073242547,0.079302671,0.016429791,2019-02,2019-Q1,585900,-0.004608295,2019-01
4/30/2019,94634,84653,UT,Provo-Orem,Utah County,Salem,9894,434200,0.001383764,0.015434986,0.106523955,0.079277254,0.032909301,2019-04,2019-Q2,434200,0,2019-04
4/30/2019,99935,98640,WA,,Pacific County,Ocean Park,9895,225700,0.003111111,0.014382022,0.078356426,0.077081557,0.018282134,2019-04,2019-Q2,225700,0,2019-04
4/30/2019,81245,53146,WI,Milwaukee-Waukesha-West Allis,Waukesha County,New Berlin,9896,269900,0.003718855,0.016572505,0.06469428,0.048589355,0.020838533,2019-04,2019-Q2,269900,0,2019-04
4/30/2019,58427,1566,MA,Worcester,Worcester County,Sturbridge,9897,290200,-0.001719986,0.010797631,0.06573632,0.051185518,0.021409591,2019-03,2019-Q1,290700,-0.001719986,2019-03
4/30/2019,91873,77360,TX,,Polk County,Onalaska,9898,157000,-0.004438808,-0.009463722,0.035620053,0.064427104,0.039475469,2019-02,2019-Q1,158500,-0.009463722,2018-10
4/30/2019,58413,1536,MA,Worcester,Worcester County,Grafton,9899,340400,-0.003804507,-0.001466706,0.035909921,0.047663277,0.023364673,2005-12,2005-Q4,347600,-0.020713464,2005-05
4/30/2019,89883,73051,OK,Oklahoma City,Cleveland County,Slaughterville,9900,114500,0.009700176,0.041856233,0.23650108,0.163066755,0.070195044,2019-04,2019-Q2,114500,0,2019-04
4/30/2019,71849,32189,FL,Palatka,Putnam County,Satsuma,9901,117800,-0.013400335,0.00170068,0.145914397,0.070484182,0.010706207,2006-07,2006-Q3,146900,-0.198093941,2005-09
4/30/2019,62888,12986,NY,Malone,Franklin County,Tupper Lake,9902,106700,-0.010204082,0.004708098,-0.019301471,0.026106211,0.009161204,2018-04,2018-Q2,108800,-0.019301471,2018-03
4/30/2019,62457,12184,NY,Hudson,Columbia County,Kinderhook,9903,254700,0.003150847,0.016360734,0.057724252,0.035048816,0.01171396,2019-04,2019-Q2,254700,0,2019-04
4/30/2019,90604,74959,OK,Fort Smith,LeFlore County,Spiro,9904,73700,-0.010738255,-0.016021362,0.038028169,0.047637241,0.025848288,2019-02,2019-Q1,75000,-0.017333333,2018-11
4/30/2019,74349,37380,TN,Chattanooga,Marion County,South Pittsburg,9905,87900,0.001138952,-0.009019166,0.009184845,0.028171326,0.013855381,2018-12,2018-Q4,89000,-0.012359551,2018-09
